System,Model,new_traj_r2_mean,new_traj_r2_std,sim_r2_mean,sim_r2_std,canonical_complexity_mean,canonical_complexity_std,discovery_time_s_mean,discovery_time_s_std,sim_time_s_mean,sim_time_s_std
Complex Lorenz,AutoSINDy (ours),0.9794357885153716,0.04473022480992645,-0.38596472028737583,0.443739055629833,16.533333333333335,2.873581609136552,40.327903326352434,6.468644313410778,3.9375965118408205,1.3050926878802669
Complex Lorenz,Standard SINDy,0.9922558529586959,0.006669717489539233,-0.2569770602914441,0.4626308235744938,38.96666666666667,16.672263428103935,3.627899448076884,0.9330801768908026,5.031112806002299,2.4725178818633875
Complex Lorenz,Standard PySR,0.9192069173089389,0.07780553594217539,-1.6444100009630618,0.3747661342757867,9.566666666666666,1.9771685315872423,43.35600190957387,8.72430278831772,21.10483345190684,12.550223082778045
Damped Pendulum,AutoSINDy (ours),0.9977556080333334,0.003654303026565984,0.44248112493103453,1.0758513725467431,8.0,11.890303206597702,22.15602974,4.974554105233975,2.9358855963,8.611786025060933
Damped Pendulum,Standard SINDy,0.9432939188333336,0.0791138321831544,0.22563882962962964,0.981646662882467,136.26666666666668,140.2640203412794,0.6297842978333335,0.1408146979153676,1.2871865351666665,0.4666727327771184
Damped Pendulum,Standard PySR,0.9251279199000001,0.0500455936616941,-0.5174253776071429,0.7379080803998322,6.233333333333333,0.9714309861845773,18.058006604000003,3.113981504557483,24.105184874333336,38.726532009668645
Duffing,AutoSINDy (ours),0.22329110970000005,2.501928127152442,0.998596526,0.0009837216249235503,7.6,1.5447352189134953,22.90086377533333,5.746543294200187,1.3836711247666666,0.5908802444091474
Duffing,Standard SINDy,-96.94552112023331,169.4612540149663,,,7.5,4.392391540866531,0.5615795055999999,0.18457676043155344,1.9300449132000002,1.2754846786751144
Duffing,Standard PySR,-2824318.107085733,15227958.448587475,-0.3158993005,0.35100285356267724,223.13333333333333,1138.1942665932504,19.95860087033333,4.863015885621115,9.179214843099999,3.9410575929437788
Harmonic Osc.,AutoSINDy (ours),0.9997356442666666,0.0009322874173433744,0.9990944320999998,0.002771333193398096,5.433333333333334,3.349558214135867,23.536014938,6.704980530254801,1.1209119796666664,0.30137132829089286
Harmonic Osc.,Standard SINDy,-171.65977331476662,475.2747370865979,0.8859578065625,0.252827822766898,72.46666666666667,58.056888470280384,0.6001617271666667,0.16093388571639608,2.5560180503666663,2.811212150065591
Harmonic Osc.,Standard PySR,0.9412163189999999,0.026738651915027396,-0.6772607376399999,0.9008739720317237,6.1,5.3067946036677585,20.07529927866667,3.0167585741913485,5.4827547312,1.2837436951084649
Modulated Osc.,AutoSINDy (ours),0.9999383023137658,0.00012475090993343144,0.9997156252351813,0.00037249033495979726,5.233333333333333,2.8488755595889033,24.526749221483865,7.571503194312995,1.1739211479822795,0.39076487828107653
Modulated Osc.,Standard SINDy,0.9949361830647199,0.007353350542975425,0.8183398205113702,0.24093906557665917,95.46666666666667,72.76212226688835,0.6232354243596395,0.1635143880564499,1.6119041124979654,1.586939064970986
Modulated Osc.,Standard PySR,0.9951404380974422,0.0019304701035289039,0.8196407939281802,0.17450937094181168,7.2,8.703546641337141,21.167055281003318,4.123901995567362,5.740100153287252,1.3982424982397004
Van der Pol,AutoSINDy (ours),0.9995595619333334,0.00081986789518893,0.9850269508666667,0.06331953806759363,13.533333333333333,5.823456334356849,24.73223108433334,5.40279483017095,2.5886493764666665,2.4731089318150237
Van der Pol,Standard SINDy,0.9910148329333333,0.023932938129434676,0.5588864328235295,0.8277222944171159,173.0,121.43055344658868,0.7993158420666667,0.19748782204929854,9.625695007,35.39918451416034
Van der Pol,Standard PySR,0.8283784489000001,0.04309836590791273,-0.41430265721739135,0.2278255682326774,8.566666666666666,0.6260623155792927,21.837483326999998,3.573182929901577,11.7501790124,9.458295479024475
